# table.column <TAB> source text <TAB> English. Applied by translate_dump.pl.
AttrInfo.comm	이벤트시작여부	Event start flag
AttrInfo.comm	이벤트 몬스터 생성확률	Event monster spawn rate
AttrInfo.comm	아이템 생성확률	Item drop rate
AttrInfo.comm	경험치 획득 확률	Experience gain rate
AttrInfo.comm	전쟁 승리시 보너스 유지시간	Bonus duration after a war victory
AttrInfo.comm	슬레이어 HP Bonus	Slayer HP bonus
AttrInfo.comm	뱀파이어 HP Bonus	Vampire HP bonus
AttrInfo.comm	프리미엄 사용자 경험치 비율	Premium user experience rate
AttrInfo.comm	프리미엄 존 아이템 루팅 확률	Premium zone item loot rate
AttrInfo.comm	존 그룹 로드 밸런싱 주기(분)	Zone group load-balancing interval (min)
AttrInfo.comm	갬블 ItemType 확률	Gamble ItemType rate
AttrInfo.comm	갬블 ItemOption 확률	Gamble ItemOption rate
AttrInfo.comm	모터사이클 소환	Motorcycle summoning
AttrInfo.comm	유효 적 인식 시간(초)	Enemy recognition time (sec)
AttrInfo.comm	슬레이어 damage bonus	Slayer damage bonus
AttrInfo.comm	뱀파이어 damage bonus	Vampire damage bonus
AttrInfo.comm	레어 아이템 루팅 확률	Rare item loot rate
AttrInfo.comm	유니크 아이템 루팅 확률	Unique item loot rate
AttrInfo.comm	마스터 레어 작동 여부	Master lair enabled
AttrInfo.comm	마스터 레어에서 죽었을때 다시 들어갈 수 있나?	Can players re-enter a master lair after dying there?
AttrInfo.comm	추석보너스 아이템 루팅 확률	Chuseok bonus item loot rate
AttrInfo.comm	마스터 흡혈 시작 HP %	Master Blood Drain start HP %
AttrInfo.comm	마스터 흡혈 시작 BloodDrain확률 %	Master Blood Drain start BloodDrain chance %
AttrInfo.comm	마스터 흡혈 끝 HP %	Master Blood Drain end HP %
AttrInfo.comm	마스터 흡혈 끝 BloodDrain확률 %	Master Blood Drain end BloodDrain chance %
AttrInfo.comm	치프 몬스터 등장 여부	Chief monsters appear
AttrInfo.comm	치프 몬스터 레어 아이템 루팅 확률	Chief monster rare item loot rate
AttrInfo.comm	능력치 40되면 길드로 이동하기	Move to the guild when stats reach 40
AttrInfo.comm	슬레이어 무료 사용 도메인합 제한	Slayer free-play domain total limit
AttrInfo.comm	뱀파이어 무료 사용 레벨 제한	Vampire free-play level limit
AttrInfo.comm	IncomingConnection과 관련된 로그 on/off	IncomingConnection logging on/off
AttrInfo.comm	크리스마스 폭죽 루팅 확률	Christmas firecracker loot rate
AttrInfo.comm	크리스마스 트리 조각 루팅 확률	Christmas tree piece loot rate
AttrInfo.comm	선물 상자 루팅 확률	Gift box loot rate
AttrInfo.comm	크리스마스 트리 지속 시간	Christmas tree duration
AttrInfo.comm	마스터 레어 출입 가능 인원수	Master lair player capacity
AttrInfo.comm	계급 경험치 얻는 %	Rank experience gain %
AttrInfo.comm	아이템 Luck 적용 %	Item Luck applied %
AttrInfo.comm	대박 아이템 확률 / 10000	Jackpot item chance / 10000
AttrInfo.comm	대박 아이템 추가 아이템 개수	Jackpot item: number of extra items
AttrInfo.comm	대박 해골 확률 / 10000	Jackpot skull chance / 10000
AttrInfo.comm	유료 사용자 앰플, 혈청 반값 이벤트 on/off	Half-price ampoule and Serum event for paying users on/off
AttrInfo.comm	공용성 입장료	Common castle entrance fee
AttrInfo.comm	길드성 입장료	Guild castle entrance fee
AttrInfo.comm	공용성 아이템 세율	Common castle item tax rate
AttrInfo.comm	길드성 아이템 세율	Guild castle item tax rate
AttrInfo.comm	전쟁신청금	War application fee
AttrInfo.comm	길드 전쟁 시간(초)	Guild war duration (sec)
AttrInfo.comm	圣战(种族间战争时间)	Holy war (Race War duration)
AttrInfo.comm	아담의 성지 전쟁 주기는 주(week) 단위인가? 아니면 일(day) 단위이다	Is the Adam's Holy Land war cycle weekly? Otherwise it is daily
AttrInfo.comm	아담의 성지 전쟁 기능이 작동하는가?	Is the Adam's Holy Land war enabled?
AttrInfo.comm	종족 전쟁 시 적용 timeband	Timeband applied during the Race War
