# The client's tools/i18n/npcscript.en.tsv (Korean, English; \n \t \\ \xNN escapes) plus the lines only the Script table has.
제가 가지고 있는 이 악세서리들은 당신의 기본적인 힘을 키워줄 것입니다. 뱀파이어들과 싸울때 필히 많은 도움이 되리라고 생각합니다. 한번 보시지요.	These accessories of mine will build up your basic strength. I am sure they will be a great help when you fight the vampires. Take a look.
예. 물건들을 볼 수 있을까요?	Yes. May I see your wares?
제 것을 혹시 사실 의향이 있으신가요? 팔고 싶습니다만.	Would you be interested in buying something from me? I have goods to sell.
센터우로(펫) 퀘스트 때문에 왔습니다.	I am here about the Centauro (pet) quest.
지금은 특별히 필요한 것이 없군요.	There is nothing I particularly need right now.
성경책에도 암호가 숨겨져 있다는 사실 알고 있나? 이쪽 계통에서는 다 아는 사실이지.	Did you know there are ciphers hidden in the Bible? Everyone in this line of work knows it.
모든 암호와 비밀이 풀린다고 생각한다면 그건 오산이네.	If you think every cipher and secret can be broken, you are mistaken.
한때는 내가 해독하지 못하는 암호는 없었다네. 요즘이야 컴퓨터가 다 알아서 하지만..	There was a time when no cipher could hold out against me. These days the computers do it all, though...
코난님은 나의 생명의 은인이라네. 그분만큼 뛰어난 슬레이어는 본 적이 없다네.	Conan saved my life. I have never seen a finer slayer than that man.
내가 가진 블루드롭이 자네의 아이템을 더 향상시켜 줄꺼야. 하지만 사람은 기본기가 중요한 법이지. 항상 열심히 수련하게나.	The Blue Drops I carry will improve your items further. But the basics are what matter in a person. Train hard, always.
자네게 부족한 힘이 어떤 것이나 잘 파악해 두라고. 모자란 부분은 아이템으로 보충하는 것도 방법 중의 하나지.	Work out exactly which of your strengths is lacking. Making up the difference with items is one way to go about it.
이런, 손님이 아니시군… 돈이 되지 않는 일은 사절이지만 이번 건은 제법 흥미로운 일이지. 그래, 자격은 갖추고 오셨겠지요?	Well now, you are no customer... I turn down work that does not pay, but this business is rather interesting. So then, I take it you come qualified?
센터우로 퀘스트가 무엇입니까?	What is the Centauro quest?
센터우로 퀘스트를 완료하였습니다. 보상은?	I have completed the Centauro quest. My reward?
드디어 센터우로를 조정하실 능력을 갖추게 되셨군요. 축하 드립니다. 이 센터우로는 아주 유용하지만 섬세한 제품입니다. 아직 신제품 시장에 나오지도 않은 따끈따끈한 신품입니다. E.V.E 지도부에서 제품의 테스트를 의뢰 받고 한정적으로 지급하고 있는 상태입니다. 이 제품을 조종하시려면 아주 미세한 콘트롤에도 능해야 합니다. 아시다시피 전장은 매우 혼잡하니까요. 이제 당신께 기회를 드리겠습니다. 제품 사용을 위한 테스트라고 생각하시면 되겠군요. 당신의 능력에 비추어 볼 때 %(MonsterName) 이 가장 적합하군요. 제한시간 1시간 동안 80마리를 성공적으로 잡아 오시면 테스트를 통과할 수 있습니다. 테스트를 진행하시겠습니까?	So you have finally gained the skill to pilot a Centauro. Congratulations. The Centauro is enormously useful, but it is a delicate machine. It is fresh off the line, not even on the market yet. E.V.E. headquarters asked us to test it, and we are issuing it in strictly limited numbers. Piloting one demands very fine control. The battlefield is a chaotic place, as you know. So I will give you your chance now. Think of it as a test of the machine. Given your abilities, %(MonsterName) suits you best. Bring down 80 of them within one hour and you pass. Shall we begin the test?
수행 하겠습니다.	I will do it.
아니오 다음기회를 이용하겠습니다.	No, I will take you up on it another time.
어서와. 이번엔 또 어디가 말썽인가? 한번 보여주게. 음.... 손볼 데가 많잖아. 이 지경이 될 때까지 나를 찾아오지 않았다니.. 주인으로서 자격이 없는걸. 곧 고쳐볼테니 저기에 놔두겠어?	Welcome back. What is giving you trouble this time? Let me see it. Hmm... plenty of work to do here. To let it get into this state before coming to me... you are hardly a fit owner. I will have it fixed shortly, so leave it over there, would you?
예. 이것 좀 빨리 고쳐주세요.	Yes. Please repair this quickly.
스마이로비치, 이 무기에 은도금을 해주시겠습니까?	Smirovich, would you silver-plate this weapon for me?
보름달 카드를 아이템으로 교환하고 싶습니다.	I would like to trade a Full Moon Card for an item.
그믐달 카드를 아이템으로 교환하고 싶습니다.	I would like to trade a New Moon Card for an item.
복주머니를 아이템으로 교환하러 왔습니다.	I have come to trade a Lucky Pouch for an item.
다음에 수리할때 들르겠습니다.	I will come by the next time I need a repair.
이래뵈도 한때 나도 슬레이어로 활동했었지. 믿지는 못하겠지만.	Believe it or not, I worked as a slayer myself once. You would never guess it.
다들 이십대 후반이라고 봐주더라구. 사실 뭐 이십대 후반이나 삼십대 초반이나 그게 그거지.	Everyone takes me for late twenties. Late twenties, early thirties, what is the difference anyway.
조만간 다들 나를 신의 손이라고 부르는 날이 올꺼야. 하핫.	One of these days they will all be calling me the hand of God. Ha ha!
물론 나도 무료로 고쳐주고 싶지만.. 재료비가 만만찮거든? 자금도 넉넉하지 않고.	Of course I would love to repair things for free, but materials are not cheap, you know. And my funds are hardly generous.
E.V.E에 대한 대부분의 지원금이 무기 구매와 치료비로 나간다는 사실은 알고 있나?	Did you know most of the funding E.V.E. receives goes on buying weapons and paying for treatment?
선물은 유감스럽지만, 모두에게 나누어 줄 수는 없어서 말이지.. 이번에 특별히 유료로 게임을 즐겨준 플레이어들을 위하여 만든 특수한 선물이라네. 만약 자네가 받을 자격이 없다면 미안하지만, 돌아가 보게나.	I am afraid the gifts cannot be handed out to everyone. This one was made especially for the players who paid to enjoy the game. If you are not entitled to one, my apologies, but you had best be on your way.
전 선물을 받을 자격이 있습니다.	I am entitled to a gift.
예, 알겠습니다. 이만 돌아가겠습니다.	Yes, understood. I will be on my way.
선물은 목걸이나 팔찌, 링 중의 하나이며, 옵션이 두개나 붙은 레어 악세서리라네. 악세서리의 단수와 옵션의 정도는 자신의 능력치의 합이 높을수록 좋은 아이템을 얻을 수 있다는 것을 기억해 두게나. 그리고 이 선물은 단 한번만 지급 된다네.	The gift is a necklace, a bracelet or a ring, a rare accessory carrying two options. Remember that the higher the sum of your stats, the better the grade and the options you will get. And the gift is handed out once only.
예. 알겠습니다. 선물을 주십시오.	Yes. Understood. Please give me the gift.
다음에 다시 오겠습니다.	I will come back another time.
자네 어디 다친 곳이라도 있나? 어디 한번 보여주게나. 뱀파이어에게 물렸다면 속히 백신을 맞아야 한다는 것은 잘 알고 있겠지?	Are you hurt anywhere? Let me have a look. You know you need a vaccine at once if a vampire has bitten you, I trust?
잘 부탁드립니다. 아프지 않게 살살 치료해주십시요.	I am in your hands. Treat me gently, please.
치료 앰플같은 것들을 사고 싶습니다.	I would like to buy some treatment ampoules and the like.
제가 가진 물건들을 팔고 싶습니다.	I would like to sell what I am carrying.
부활 위치 지정	Set resurrection point
아뇨. 지금은 치료할 만한 시간도 없는걸요. 가봐야겠습니다.	No. I have no time for treatment right now. I had better go.
내 아내와 딸이 죽어갈때, 책은 아무런 도움도 되지 않았네.	When my wife and daughter were dying, books were no help at all.
내 아들이라서 하는 말이 아니라, 그리픈은 정말 괜찮은 놈일세.	It is not just because he is my son, but Griffin really is a fine young man.
치료비만큼은 상부에서 모자라지 않게 해주니깐, 돈을 낼 필요는 없네. 하하.	Headquarters covers treatment costs in full, so you need not pay a thing. Ha ha.
나는 가끔.. 현실속에서 그날의.. 악몽이 재현되는 것을 보기도 한다네. 아..	Sometimes... I see that day's nightmare play out again in front of me. Ah...
자네도 신앙을 가져야만 하는 절박한 상황이 오지 않으리라는 법이 없지.	There is nothing to say you will never find yourself in a place desperate enough to need faith.
뱀파이어들의 치명적인 독과 산으로부터 당신의 손과 발을 보호하려면 항상 장갑과 신발을 착용하세요. 한번 리스트를 보시겠습니까?	Always wear gloves and boots to protect your hands and feet from the vampires' deadly poisons and acids. Would you like to see the list?
요시하라. 쓸만한 것들이 새로 들어왔나요?	Yoshihara. Has anything worthwhile come in?
이 물건들을 팔고 싶습니다.	I would like to sell these goods.
다음 기회에 들르도록 하지요.	I will stop by another time.
사실 해킹이란 외로운 싸움입니다. 아무나 할 게 아니죠.	Hacking is a lonely fight, really. It is not for everyone.
제 어머님께서 일본인이십니다. 그치만 거의 닮진 않았죠?	My mother is Japanese. Not that I take after her much, do I?
대부분의 다국적 기업들의 진정한 소유자들의 뒤에는 뱀파이어들이 있는 것 같아요.	It seems there are vampires behind the true owners of most of the multinationals.
장갑과 신발이 필요하시면 제게 말씀해주세요.	Come to me if you need gloves or boots.
헬멧이나 방어구들은 산드라에게 가서 말씀해보세요.	For helmets and armour, go and speak to Sandra.
뱀파이어가 만들어내는 독이 피부에 닿을 경우 바로 약품으로 세척해야 합니다.	If a vampire's poison touches your skin, wash it off with chemicals immediately.
